ident,type,name,latitude_deg,longitude_deg,iso_country,municipality,longest_runway_ft,Amiri,A319_Amiri
FQQL,medium_airport,Quelimane Airport,-17.855499267578125,36.86909866333008,MZ,Quelimane,5905.0,0,0
FQTT,medium_airport,Chingozi Airport,-16.104799270629883,33.64020156860352,MZ,Tete,8225.0,0,0
FQVL,medium_airport,Vilankulo Airport,-22.018400192260746,35.31330108642578,MZ,Vilanculo,4823.0,0,0
FSIA,large_airport,Seychelles International Airport,-4.67434,55.521801,SC,Mahe Island,9800.0,0,1
FSPP,medium_airport,Praslin Island Airport,-4.319256,55.691561,SC,Praslin Island,4318.0,0,0
FTTC,medium_airport,Abeche Airport,13.847,20.844299,TD,Abeche,9186.0,0,0
FTTD,medium_airport,Moundou Airport,8.628503,16.074241,TD,Moundou,5906.0,0,0
FTTJ,large_airport,N'Djamena International Airport,12.1337,15.034,TD,N'Djamena,9186.0,0,1
FTTY,medium_airport,Faya-Largeau Airport,17.917101,19.111099,TD,Faya-Largeau,9186.0,0,0
FVBU,medium_airport,Joshua Mqabuko Nkomo International Airport,-20.021254,28.626296,ZW,Bulawayo,8491.0,0,0
FVCZ,medium_airport,Buffalo Range Airport,-21.008101,31.5786,ZW,Chiredzi,5785.0,0,0
FVFA,medium_airport,Victoria Falls International Airport,-18.09589958190918,25.839000701904297,ZW,Victoria Falls,13123.0,0,0
FVHA,large_airport,Robert Gabriel Mugabe International Airport,-17.931801,31.0928,ZW,Harare,15502.0,1,1
FVKB,medium_airport,Kariba International Airport,-16.5198,28.885,ZW,Kariba,5413.0,0,0
FVMT,medium_airport,Mutoko Airport,-17.4319,32.184502,ZW,Mutoko,3609.0,0,0
FVMV,medium_airport,Masvingo International Airport,-20.0553,30.8591,ZW,Masvingo,5663.0,0,0
FVTL,medium_airport,Gweru - Thornhill Air Base,-19.436718,29.861945,ZW,Gweru,8766.0,0,0
FVWN,medium_airport,Hwange National Park Airport,-18.6299,27.021,ZW,Gwayi River Farms,15091.0,0,0
FWCL,medium_airport,Chileka International Airport,-15.679100036621094,34.9739990234375,MW,Blantyre,7628.0,0,0
FWDW,medium_airport,Dwangwa Airport,-12.517527,34.131877,MW,Dwangwa,3980.0,0,0
FWKA,medium_airport,Karonga Airport,-9.953571,33.893264,MW,Karonga,4200.0,0,0
FWKI,medium_airport,Kamuzu International Airport,-13.7894,33.780998,MW,Lumbadzi,11614.0,0,0
FWUU,medium_airport,Mzuzu Airport,-11.4447,34.011799,MW,Mzuzu,4291.0,0,0
FXMM,medium_airport,Moshoeshoe I International Airport,-29.462299,27.5525,LS,Mazenod,10498.0,0,0
FYAR,medium_airport,Arandis Airport,-22.461875,14.979322,,Arandis,6300.0,0,0
FYGF,medium_airport,Grootfontein Airport,-19.6022,18.1227,,Grootfontein,11680.0,0,0
FYKM,medium_airport,Katima Mulilo Airport,-17.634258,24.176688,,Mpacha,7520.0,0,0
FYKT,medium_airport,Keetmanshoop Airport,-26.539801,18.111401,,Keetmanshoop,7598.0,0,0
FYLZ,medium_airport,Luderitz Airport,-26.687400817871094,15.242899894714355,,Luderitz,6004.0,0,0
